municipio,uf_raw,populacao,capital,classe_populacao
Alta Floresta D'Oeste,RO,22516.0,0,BAIXO
Ariquemes,RO,111148.0,0,MEDIO
Cabixi,RO,5067.0,0,BAIXO
Cacoal,RO,86416.0,0,BAIXO
Cerejeiras,RO,16088.0,0,BAIXO
Colorado Do Oeste,RO,15213.0,0,BAIXO
Corumbiara,RO,7052.0,0,BAIXO
Costa Marques,RO,19255.0,0,BAIXO
Espigao D'Oeste,RO,33009.0,0,BAIXO
Guajara-Mirim,RO,46930.0,0,BAIXO
Jaru,RO,51469.0,0,BAIXO
Ji-Parana,RO,131026.0,0,MEDIO
Machadinho D'Oeste,RO,41724.0,0,BAIXO
Nova Brasilandia D'Oeste,RO,20504.0,0,BAIXO
Ouro Preto Do Oeste,RO,35445.0,0,BAIXO
Pimenta Bueno,RO,37098.0,0,BAIXO
Porto Velho,RO,548952.0,1,ALTO
Presidente Medici,RO,18165.0,0,BAIXO
Rio Crespo,RO,3843.0,0,BAIXO
Rolim De Moura,RO,55748.0,0,BAIXO
Santa Luzia D'Oeste,RO,5942.0,0,BAIXO
Vilhena,RO,104517.0,0,MEDIO
Sao Miguel Do Guapore,RO,23147.0,0,BAIXO
Nova Mamore,RO,32184.0,0,BAIXO
Alvorada D'Oeste,RO,13807.0,0,BAIXO
Alto Alegre Dos Parecis,RO,13268.0,0,BAIXO
Alto Paraiso,RO,22258.0,0,BAIXO
Buritis,RO,41043.0,0,BAIXO
Novo Horizonte Do Oeste,RO,8125.0,0,BAIXO
Cacaulandia,RO,6307.0,0,BAIXO
Campo Novo De Rondonia,RO,14391.0,0,BAIXO
Candeias Do Jamari,RO,28068.0,0,BAIXO
Castanheiras,RO,2923.0,0,BAIXO
Chupinguaia,RO,11755.0,0,BAIXO
Cujubim,RO,27131.0,0,BAIXO
Governador Jorge Teixeira,RO,7130.0,0,BAIXO
Itapua Do Oeste,RO,10819.0,0,BAIXO
Ministro Andreazza,RO,9461.0,0,BAIXO
Mirante Da Serra,RO,10691.0,0,BAIXO
Monte Negro,RO,16158.0,0,BAIXO
Nova Uniao,RO,6822.0,0,BAIXO
Parecis,RO,6319.0,0,BAIXO
Pimenteiras Do Oeste,RO,2127.0,0,BAIXO
Primavera De Rondonia,RO,2697.0,0,BAIXO
Sao Felipe D'Oeste,RO,4962.0,0,BAIXO
Sao Francisco Do Guapore,RO,21088.0,0,BAIXO
Seringueiras,RO,11846.0,0,BAIXO
Teixeiropolis,RO,4160.0,0,BAIXO
Theobroma,RO,10348.0,0,BAIXO
Urupa,RO,11081.0,0,BAIXO
Vale Do Anari,RO,11545.0,0,BAIXO
Vale Do Paraiso,RO,6490.0,0,BAIXO
Acrelandia,AC,15721.0,0,BAIXO
Assis Brasil,AC,7649.0,0,BAIXO
Brasileia,AC,27123.0,0,BAIXO
Bujari,AC,10572.0,0,BAIXO
Capixaba,AC,12280.0,0,BAIXO
Cruzeiro Do Sul,AC,89760.0,0,BAIXO
Epitaciolandia,AC,18979.0,0,BAIXO
Feijo,AC,34986.0,0,BAIXO
Jordao,AC,8628.0,0,BAIXO
Mancio Lima,AC,19643.0,0,BAIXO
Manoel Urbano,AC,9701.0,0,BAIXO
Marechal Thaumaturgo,AC,19727.0,0,BAIXO
Placido De Castro,AC,20147.0,0,BAIXO
Porto Walter,AC,12497.0,0,BAIXO
Rio Branco,AC,419452.0,1,MEDIO
Rodrigues Alves,AC,19767.0,0,BAIXO
Santa Rosa Do Purus,AC,6893.0,0,BAIXO
Senador Guiomard,AC,23446.0,0,BAIXO
Sena Madureira,AC,47168.0,0,BAIXO
Tarauaca,AC,43730.0,0,BAIXO
Xapuri,AC,19866.0,0,BAIXO
Porto Acre,AC,19141.0,0,BAIXO
Alvaraes,AM,16396.0,0,BAIXO
Amatura,AM,11934.0,0,BAIXO
Anama,AM,14292.0,0,BAIXO
Anori,AM,21937.0,0,BAIXO
Apui,AM,22739.0,0,BAIXO
Atalaia Do Norte,AM,20868.0,0,BAIXO
Autazes,AM,41005.0,0,BAIXO
Barcelos,AM,27772.0,0,BAIXO
Barreirinha,AM,32919.0,0,BAIXO
Benjamin Constant,AM,44873.0,0,BAIXO
Beruri,AM,20503.0,0,BAIXO
Boa Vista Do Ramos,AM,20040.0,0,BAIXO
Boca Do Acre,AM,34958.0,0,BAIXO
Borba,AM,42328.0,0,BAIXO
Caapiranga,AM,13482.0,0,BAIXO
Canutama,AM,15981.0,0,BAIXO
Carauari,AM,28719.0,0,BAIXO
Careiro,AM,38820.0,0,BAIXO
Careiro Da Varzea,AM,31459.0,0,BAIXO
Coari,AM,86713.0,0,BAIXO
Codajas,AM,29691.0,0,BAIXO
Eirunepe,AM,36121.0,0,BAIXO
Envira,AM,20748.0,0,BAIXO
Fonte Boa,AM,16409.0,0,BAIXO
Guajara,AM,17193.0,0,BAIXO
Humaita,AM,57195.0,0,BAIXO
Ipixuna,AM,31172.0,0,BAIXO
Iranduba,AM,49718.0,0,BAIXO
Itacoatiara,AM,104046.0,0,MEDIO
Itamarati,AM,7777.0,0,BAIXO
Itapiranga,AM,9312.0,0,BAIXO
Japura,AM,1755.0,0,BAIXO
Jurua,AM,15495.0,0,BAIXO
Jutai,AM,13462.0,0,BAIXO
Labrea,AM,47685.0,0,BAIXO
Manacapuru,AM,99613.0,0,BAIXO
Manaquiri,AM,33981.0,0,BAIXO
Manaus,AM,2255903.0,1,ALTO
Manicore,AM,57405.0,0,BAIXO
Maraa,AM,18298.0,0,BAIXO
Maues,AM,66159.0,0,BAIXO
Nhamunda,AM,21710.0,0,BAIXO
Nova Olinda Do Norte,AM,38665.0,0,BAIXO
Novo Airao,AM,20395.0,0,BAIXO
Novo Aripuana,AM,26443.0,0,BAIXO
Parintins,AM,116439.0,0,MEDIO
Pauini,AM,19616.0,0,BAIXO
Presidente Figueiredo,AM,38095.0,0,BAIXO
Rio Preto Da Eva,AM,34856.0,0,BAIXO
Santa Isabel Do Rio Negro,AM,26566.0,0,BAIXO
Santo Antonio Do Ica,AM,20889.0,0,BAIXO
Sao Gabriel Da Cachoeira,AM,47031.0,0,BAIXO
Sao Paulo De Olivenca,AM,40837.0,0,BAIXO
Sao Sebastiao Do Uatuma,AM,14678.0,0,BAIXO
Silves,AM,9289.0,0,BAIXO
Tabatinga,AM,68502.0,0,BAIXO
Tapaua,AM,16876.0,0,BAIXO
Tefe,AM,59250.0,0,BAIXO
Tonantins,AM,19038.0,0,BAIXO
Uarini,AM,13839.0,0,BAIXO
Urucara,AM,16007.0,0,BAIXO
Urucurituba,AM,24098.0,0,BAIXO
Amajari,RR,13561.0,0,BAIXO
Alto Alegre,RR,15249.0,0,BAIXO
Boa Vista,RR,436591.0,1,MEDIO
Bonfim,RR,12701.0,0,BAIXO
Canta,RR,19257.0,0,BAIXO
Caracarai,RR,22635.0,0,BAIXO
Caroebe,RR,10595.0,0,BAIXO
Iracema,RR,12637.0,0,BAIXO
Mucajai,RR,18482.0,0,BAIXO
Normandia,RR,11772.0,0,BAIXO
Pacaraima,RR,20108.0,0,BAIXO
Rorainopolis,RR,31387.0,0,BAIXO
Sao Joao Da Baliza,RR,8492.0,0,BAIXO
Sao Luiz,RR,8232.0,0,BAIXO
Uiramuta,RR,11014.0,0,BAIXO
Abaetetuba,PA,160439.0,0,MEDIO
Abel Figueiredo,PA,7536.0,0,BAIXO
Acara,PA,55744.0,0,BAIXO
Afua,PA,39910.0,0,BAIXO
Agua Azul Do Norte,PA,27797.0,0,BAIXO
Alenquer,PA,57390.0,0,BAIXO
Almeirim,PA,34044.0,0,BAIXO
Altamira,PA,117320.0,0,MEDIO
Anajas,PA,30091.0,0,BAIXO
Ananindeua,PA,540410.0,0,ALTO
Anapu,PA,29312.0,0,BAIXO
Augusto Correa,PA,46937.0,0,BAIXO
Aurora Do Para,PA,32200.0,0,BAIXO
Aveiro,PA,16421.0,0,BAIXO
Bagre,PA,31967.0,0,BAIXO
Baiao,PA,49454.0,0,BAIXO
Bannach,PA,3239.0,0,BAIXO
Barcarena,PA,129333.0,0,MEDIO
Belem,PA,1506420.0,1,ALTO
Belterra,PA,17944.0,0,BAIXO
Benevides,PA,64780.0,0,BAIXO
Bom Jesus Do Tocantins,PA,17254.0,0,BAIXO
Bonito,PA,16769.0,0,BAIXO
Braganca,PA,130122.0,0,MEDIO
Brasil Novo,PA,14883.0,0,BAIXO
Brejo Grande Do Araguaia,PA,7357.0,0,BAIXO
Breu Branco,PA,68597.0,0,BAIXO
Breves,PA,104280.0,0,MEDIO
Bujaru,PA,29717.0,0,BAIXO
Cachoeira Do Piria,PA,35307.0,0,BAIXO
Cachoeira Do Arari,PA,24355.0,0,BAIXO
Cameta,PA,140814.0,0,MEDIO
Canaa Dos Carajas,PA,39103.0,0,BAIXO
Capanema,PA,69828.0,0,BAIXO
Capitao Poco,PA,54545.0,0,BAIXO
Castanhal,PA,205667.0,0,MEDIO
Chaves,PA,24175.0,0,BAIXO
Colares,PA,12175.0,0,BAIXO
Conceicao Do Araguaia,PA,48115.0,0,BAIXO
Concordia Do Para,PA,34236.0,0,BAIXO
Cumaru Do Norte,PA,14044.0,0,BAIXO
Curionopolis,PA,17764.0,0,BAIXO
Curralinho,PA,35530.0,0,BAIXO
Curua,PA,14776.0,0,BAIXO
Curuca,PA,41093.0,0,BAIXO
Dom Eliseu,PA,61206.0,0,BAIXO
Eldorado Do Carajas,PA,34069.0,0,BAIXO
Faro,PA,6949.0,0,BAIXO
Floresta Do Araguaia,PA,20742.0,0,BAIXO
Garrafao Do Norte,PA,26155.0,0,BAIXO
Goianesia Do Para,PA,41678.0,0,BAIXO
Gurupa,PA,34127.0,0,BAIXO
Igarape-Acu,PA,39234.0,0,BAIXO
Igarape-Miri,PA,63367.0,0,BAIXO
Inhangapi,PA,12009.0,0,BAIXO
Ipixuna Do Para,PA,67170.0,0,BAIXO
Irituia,PA,32639.0,0,BAIXO
Itaituba,PA,101541.0,0,MEDIO
Itupiranga,PA,53439.0,0,BAIXO
Jacareacanga,PA,6952.0,0,BAIXO
Jacunda,PA,60517.0,0,BAIXO
Juruti,PA,59961.0,0,BAIXO
Limoeiro Do Ajuru,PA,29623.0,0,BAIXO
Mae Do Rio,PA,30389.0,0,BAIXO
Magalhaes Barata,PA,8598.0,0,BAIXO
Maraba,PA,287664.0,0,MEDIO
Maracana,PA,29559.0,0,BAIXO
Marapanim,PA,28563.0,0,BAIXO
Marituba,PA,135812.0,0,MEDIO
Medicilandia,PA,32347.0,0,BAIXO
Melgaco,PA,28121.0,0,BAIXO
Mocajuba,PA,31917.0,0,BAIXO
Moju,PA,84251.0,0,BAIXO
Mojui Dos Campos,PA,16282.0,0,BAIXO
Monte Alegre,PA,58289.0,0,BAIXO
Muana,PA,41454.0,0,BAIXO
Nova Esperanca Do Piria,PA,21519.0,0,BAIXO
Nova Ipixuna,PA,17027.0,0,BAIXO
Nova Timboteua,PA,15646.0,0,BAIXO
Novo Progresso,PA,25769.0,0,BAIXO
Novo Repartimento,PA,78488.0,0,BAIXO
Obidos,PA,52473.0,0,BAIXO
Oeiras Do Para,PA,33182.0,0,BAIXO
Oriximina,PA,74921.0,0,BAIXO
Ourem,PA,18079.0,0,BAIXO
Ourilandia Do Norte,PA,33831.0,0,BAIXO
Pacaja,PA,49110.0,0,BAIXO
Palestina Do Para,PA,7575.0,0,BAIXO
Paragominas,PA,115838.0,0,MEDIO
Parauapebas,PA,218787.0,0,MEDIO
Pau D'Arco,PA,5339.0,0,BAIXO
Peixe-Boi,PA,8084.0,0,BAIXO
Picarra,PA,12976.0,0,BAIXO
Placas,PA,32325.0,0,BAIXO
Ponta De Pedras,PA,32007.0,0,BAIXO
Portel,PA,63831.0,0,BAIXO
Porto De Moz,PA,42456.0,0,BAIXO
Prainha,PA,29827.0,0,BAIXO
Primavera,PA,10889.0,0,BAIXO
Quatipuru,PA,13794.0,0,BAIXO
Redencao,PA,86326.0,0,BAIXO
Rio Maria,PA,18208.0,0,BAIXO
Rondon Do Para,PA,53242.0,0,BAIXO
Ruropolis,PA,52473.0,0,BAIXO
Salinopolis,PA,41164.0,0,BAIXO
Salvaterra,PA,24392.0,0,BAIXO
Santa Barbara Do Para,PA,21811.0,0,BAIXO
Santa Cruz Do Arari,PA,10496.0,0,BAIXO
Santa Izabel Do Para,PA,72856.0,0,BAIXO
Santa Luzia Do Para,PA,19839.0,0,BAIXO
Santa Maria Das Barreiras,PA,22244.0,0,BAIXO
Santa Maria Do Para,PA,25127.0,0,BAIXO
Santana Do Araguaia,PA,75995.0,0,BAIXO
Santarem,PA,308339.0,0,MEDIO
Santarem Novo,PA,6796.0,0,BAIXO
Santo Antonio Do Taua,PA,32346.0,0,BAIXO
Sao Caetano De Odivelas,PA,18207.0,0,BAIXO
Sao Domingos Do Araguaia,PA,25945.0,0,BAIXO
Sao Domingos Do Capim,PA,32285.0,0,BAIXO
Sao Felix Do Xingu,PA,135732.0,0,MEDIO
Sao Francisco Do Para,PA,15978.0,0,BAIXO
Sao Geraldo Do Araguaia,PA,24566.0,0,BAIXO
Sao Joao Da Ponta,PA,6294.0,0,BAIXO
Sao Joao De Pirabas,PA,23440.0,0,BAIXO
Sao Joao Do Araguaia,PA,14105.0,0,BAIXO
Sao Miguel Do Guama,PA,60268.0,0,BAIXO
Sao Sebastiao Da Boa Vista,PA,27302.0,0,BAIXO
Sapucaia,PA,6088.0,0,BAIXO
Senador Jose Porfirio,PA,11305.0,0,BAIXO
Soure,PA,25752.0,0,BAIXO
Tailandia,PA,111554.0,0,MEDIO
Terra Alta,PA,11971.0,0,BAIXO
Terra Santa,PA,19063.0,0,BAIXO
Tome-Acu,PA,64604.0,0,BAIXO
Tracuateua,PA,31549.0,0,BAIXO
Trairao,PA,19344.0,0,BAIXO
Tucuma,PA,40661.0,0,BAIXO
Tucurui,PA,116605.0,0,MEDIO
Ulianopolis,PA,62286.0,0,BAIXO
Uruara,PA,45395.0,0,BAIXO
Vigia,PA,54650.0,0,BAIXO
Viseu,PA,62093.0,0,BAIXO
Vitoria Do Xingu,PA,15421.0,0,BAIXO
Xinguara,PA,45416.0,0,BAIXO
Serra Do Navio,AP,5577.0,0,BAIXO
Amapa,AP,9265.0,0,BAIXO
Pedra Branca Do Amapari,AP,17625.0,0,BAIXO
Calcoene,AP,11493.0,0,BAIXO
Cutias,AP,6217.0,0,BAIXO
Ferreira Gomes,AP,8151.0,0,BAIXO
Itaubal,AP,5730.0,0,BAIXO
Laranjal Do Jari,AP,52302.0,0,BAIXO
Macapa,AP,522357.0,1,ALTO
Mazagao,AP,22468.0,0,BAIXO
Oiapoque,AP,28534.0,0,BAIXO
Porto Grande,AP,22927.0,0,BAIXO
Pracuuba,AP,5370.0,0,BAIXO
Santana,AP,124808.0,0,MEDIO
Tartarugalzinho,AP,18217.0,0,BAIXO
Vitoria Do Jari,AP,16572.0,0,BAIXO
Abreulandia,TO,2609.0,0,BAIXO
Aguiarnopolis,TO,7049.0,0,BAIXO
Alianca Do Tocantins,TO,5303.0,0,BAIXO
Almas,TO,6905.0,0,BAIXO
Alvorada,TO,8381.0,0,BAIXO
Ananas,TO,9435.0,0,BAIXO
Angico,TO,3475.0,0,BAIXO
Aparecida Do Rio Negro,TO,4901.0,0,BAIXO
Aragominas,TO,5705.0,0,BAIXO
Araguacema,TO,7223.0,0,BAIXO
Araguacu,TO,8418.0,0,BAIXO
Araguaina,TO,186245.0,0,MEDIO
Araguana,TO,5856.0,0,BAIXO
Araguatins,TO,36573.0,0,BAIXO
Arapoema,TO,6590.0,0,BAIXO
Arraias,TO,10502.0,0,BAIXO
Augustinopolis,TO,18870.0,0,BAIXO
Aurora Do Tocantins,TO,3809.0,0,BAIXO
Axixa Do Tocantins,TO,9817.0,0,BAIXO
Babaculandia,TO,10668.0,0,BAIXO
Bandeirantes Do Tocantins,TO,3631.0,0,BAIXO
Barra Do Ouro,TO,4673.0,0,BAIXO
Barrolandia,TO,5669.0,0,BAIXO
Bernardo Sayao,TO,4439.0,0,BAIXO
