especialidade_raw;grupoespecialidade
FARMACOLOGIA;OUTRAS/INDEFINIDO
DIAGNOSTICO POR IMAGEM;DIAGNOSTICO & ONCO (ALTA)
MEDICINA PREVENTIVA E SOCIAL;ATENCAO PRIMARIA
ANGIOLOGIA;CARDIOMETABOLICAS
ENDOSCOPIA;DIAGNOSTICO & ONCO (ALTA)
NEUROFISIOLOGIA CLINICA;NEURO & ORTOPEDIA
CIRURGIA BUCOMAXILAR;ODONTOLOGIA (ALTA)
CIRURGIA PLASTICA;CIRURGICAS (ALTA)
MEDICINA DO TRAFEGO;OUTRAS/INDEFINIDO (ALTA)
PSIQUIATRIA;SAUDE MENTAL
OBSTETRICIA;SAUDE DA MULHER
ANESTESIOLOGIA;CIRURGICAS (ALTA)
CIRURGIAO DENTISTA;ODONTOLOGIA (ALTA)
PATOLOGIA;DIAGNOSTICO & ONCO
OFTALMOLOGIA;ESPECIALIDADES CLINICAS
TERAPIA INTENSIVA;OUTRAS/INDEFINIDO
MEDICINA DO TRABALHO;ATENCAO PRIMARIA
CIRURGIA DE CABECA E PESCOCO;CIRURGICAS
ENDOSCOPIA DIGESTIVA;DIAGNOSTICO & ONCO
PSICOLOGIA;OUTRAS/INDEFINIDO
INFECTOLOGIA;ESPECIALIDADES CLINICAS
NEUROLOGIA;NEURO & ORTOPEDIA
ACUPUNTURA;OUTRAS/INDEFINIDO
HOMEOPATIA;OUTRAS/INDEFINIDO
MEDICINA DE FAMILIA E COMUNIDADE;ATENCAO PRIMARIA
CIRURGIA GERAL;CIRURGICAS
RADIOLOGIA E DIAGNOSTICO POR IMAGEM;DIAGNOSTICO & ONCO
DERMATOLOGIA;ESPECIALIDADES CLINICAS
GERIATRIA;ESPECIALIDADES CLINICAS
ORTOPEDIA E TRAUMATOLOGIA;NEURO & ORTOPEDIA
ODONTOLOGIA;ODONTOLOGIA
MEDICINA INTENSIVA;OUTRAS/INDEFINIDO
SEM ESPECIALIDADE;ATENCAO PRIMARIA
MASTOLOGIA;SAUDE DA MULHER
MEDICINA GERAL COMUNITARIA;ATENCAO PRIMARIA
CIRURGIA DO APARELHO DIGESTIVO;CIRURGICAS
UROLOGIA;CIRURGICAS
CIRURGIA CABECA E PESCOCO;CIRURGICAS
ONCOLOGIA CLINICA;DIAGNOSTICO & ONCO
CANCEROLOGIA;DIAGNOSTICO & ONCO
GENETICA CLINICA;ESPECIALIDADES CLINICAS
