"idmedico","conselhoprofissional","ufconselho","genero","idade","cidade","estado","especialidade"
"140479","CRM","MG","F",,"MANHUACU","MG","ORTOPEDIA E TRAUMATOLOGIA"
"140966","CRO","SP","M",,"SAO PAULO","SP","SEM ESPECIALIDADE"
"141156","CRO","MG","F",,"BELO HORIZONTE","MG","CLINICA MEDICA"
"141255","CRM","ES","M",,"VITORIA","ES","RADIOLOGIA E DIAGNOSTICO POR IMAGEM"
"141315","CRM","GO","F",,"GOIANIA","GO","PEDIATRIA"
"141533","CRM","SP","F",,"TAUBATE","SP","OTORRINOLARINGOLOGIA"
"141591","CRO","RS","F",,"TORRES","RS","SEM ESPECIALIDADE"
"142089","CRM","CE",,,"FORTALEZA","CE","INFECTOLOGIA"
"142343","CRO","RJ",,,"RIO DE JANEIRO","RJ","SEM ESPECIALIDADE"
"142391","CRO","PR","M",,"PONTA GROSSA","PR","ANESTESIOLOGIA"
"144936","CRM","SC","F",,"CURITIBANOS","SC","SEM ESPECIALIDADE"
"145072","CRM","MG","M",,"BELO HORIZONTE","MG","ANESTESIOLOGIA"
"145093","CRM","SP","F",,"SAO PAULO","SP","PEDIATRIA"
"145218","CRM","SP","M",,"","","SEM ESPECIALIDADE"
"145249","CRO","SP","M",,"SAO PAULO","SP","SEM ESPECIALIDADE"
"145346","CRO","SP","F",,"OSASCO","SP","SEM ESPECIALIDADE"
"145380","CRM","DF","M",,"BRASILIA","DF","SEM ESPECIALIDADE"
"145551","CRO","ES","M",,"LINHARES","ES","CLINICA MEDICA"
"148458","CRM","SP","M",,"","","CARDIOLOGIA"
"1226","CRM-ES","ES","F","44.0","","""""","MEDICINA DE FAMILIA E COMUNIDADE"
"1453","CRM","SP","M",,"SAO PAULO","SP","CARDIOLOGIA"
"1623","CRM","SP","M",,"SAO PAULO","SP","CIRURGIA DO APARELHO DIGESTIVO"
"2963","CRM","SP","F",,"",,"GINECOLOGIA E OBSTETRICIA"
"3783","CRM","BA","F",,"",,"OTORRINOLARINGOLOGIA"
"6252","CRM","SP","M",,"","","ORTOPEDIA E TRAUMATOLOGIA"
"7229","CRM","SP","M",,"",,"GINECOLOGIA E OBSTETRICIA"
"8785","CRM","SP","M",,"",,"MASTOLOGIA"
"9005","CRM","SP","F",,"",,"CLINICA MEDICA"
"9201","CRM","ES","F",,"",,"CIRURGIA VASCULAR"
"10884","CRM","RJ",,,"",,"SEM ESPECIALIDADE"
"10941","CRM","SP","M",,"",,"PEDIATRIA"
"11057","CRM","SP",,,"",,"OTORRINOLARINGOLOGIA"
"11908","CRM","SP",,,"",,"SEM ESPECIALIDADE"
"12210","CRM","SP","F",,"",,"MEDICINA DE FAMILIA E COMUNIDADE"
"13139","CRM","ES","F",,"","","GENETICA CLINICA"
"13525","CRM","SP",,,"",,"SEM ESPECIALIDADE"
